date,token,price
2023-12-27,PAGE.grv,0.0005338184288039385
2023-12-28,PAGE.grv,0.0006360960956597255
2023-12-29,PAGE.grv,0.0007086981478714304
2023-12-30,PAGE.grv,0.0007602799253908885
2024-01-01,PAGE.grv,0.000782734054462735
2024-01-02,PAGE.grv,0.0008264286614805761
2024-01-03,PAGE.grv,0.0010146799107610361
2024-01-05,PAGE.grv,0.0010475651040334603
2024-01-06,PAGE.grv,0.0010406916784443992
2024-01-07,PAGE.grv,0.0010465943542116664
2024-01-08,PAGE.grv,0.0010570543187824542
2024-01-09,PAGE.grv,0.001117842299683466
2024-01-10,PAGE.grv,0.0011458808905676788
2024-01-11,PAGE.grv,0.0012276687365903015
2024-01-12,PAGE.grv,0.0012315744137397855
2024-01-13,PAGE.grv,0.00123338573656429
2024-01-14,PAGE.grv,0.0012024882217306716
2024-01-15,PAGE.grv,0.0011446569282127558
2024-01-16,PAGE.grv,0.0011402122122122123
2024-01-17,PAGE.grv,0.001170565215668438
2024-01-18,PAGE.grv,0.0013470296912694907
2024-01-19,PAGE.grv,0.001387530183543677
2024-01-20,PAGE.grv,0.0014334917043042088
2024-01-21,PAGE.grv,0.0014979385256584919
2024-01-22,PAGE.grv,0.0021992945120515874
2024-01-23,PAGE.grv,0.00243868780677958
2024-01-24,PAGE.grv,0.002481486935472321
2024-01-25,PAGE.grv,0.002555378455238352
2024-01-26,PAGE.grv,0.0029505240393970272
2024-01-27,PAGE.grv,0.0032816927634664005
2024-01-28,PAGE.grv,0.004522737082738368
2024-01-29,PAGE.grv,0.0044904024584512476
2024-01-30,PAGE.grv,0.0047504896407252134
2024-01-31,PAGE.grv,0.004799111103163771
2024-02-01,PAGE.grv,0.004595522981796995
2024-02-02,PAGE.grv,0.004591601273052075
2024-02-03,PAGE.grv,0.004617299393346593
2024-02-04,PAGE.grv,0.00480461181406965
2024-02-05,PAGE.grv,0.004829658392973736
2024-02-06,PAGE.grv,0.005630501925705847
2024-02-07,PAGE.grv,0.006558574453970126
2024-02-08,PAGE.grv,0.007045926269372115
2024-02-09,PAGE.grv,0.007970501060180721
2024-02-10,PAGE.grv,0.00829853234290229
2024-02-11,PAGE.grv,0.008211457376379051
2024-02-12,PAGE.grv,0.007891339170984696
2024-02-13,PAGE.grv,0.007829608101610914
2024-02-14,PAGE.grv,0.007494955950423162
2024-02-15,PAGE.grv,0.007555149933864092
2024-02-16,PAGE.grv,0.008470885505887189
2024-02-17,PAGE.grv,0.008718666702044105
2024-02-18,PAGE.grv,0.00908316283701646
2024-02-19,PAGE.grv,0.011432393142217456
2024-02-20,PAGE.grv,0.014654914249577019
2024-02-21,PAGE.grv,0.01626746977433623
2024-02-22,PAGE.grv,0.01654491254727801
2024-02-23,PAGE.grv,0.017627513629339092
2024-02-24,PAGE.grv,0.01995883972020292
2024-02-25,PAGE.grv,0.019987954715783136
2024-02-26,PAGE.grv,0.019561970565303725
2024-02-27,PAGE.grv,0.019494865367626537
2024-02-28,PAGE.grv,0.02086916938488662
2024-02-29,PAGE.grv,0.019771052215873726
2024-03-01,PAGE.grv,0.019005979558681507
2024-03-02,PAGE.grv,0.01886528561696775
2024-03-03,PAGE.grv,0.018286386109619225
2024-03-04,PAGE.grv,0.018124955148765116
2024-03-05,PAGE.grv,0.019462289068666382
2024-03-06,PAGE.grv,0.01952466695701033
2024-03-07,PAGE.grv,0.018028717530733162
2024-03-08,PAGE.grv,0.01760647458976481
2024-03-09,PAGE.grv,0.015565576453320474
2024-03-10,PAGE.grv,0.01496431042029961
2024-03-11,PAGE.grv,0.01419375159951741
2024-03-12,PAGE.grv,0.014977118738191832
2024-03-13,PAGE.grv,0.01506211170535084
2024-03-14,PAGE.grv,0.014018024694689026
2024-03-15,PAGE.grv,0.013286543183274515
2024-03-16,PAGE.grv,0.012864333582078146
2024-03-17,PAGE.grv,0.012904603015492459
2024-03-18,PAGE.grv,0.012964703487633667
2024-03-19,PAGE.grv,0.012765111655604119
2024-03-20,PAGE.grv,0.01303591412534646
2024-03-21,PAGE.grv,0.012808381244536
2024-03-22,PAGE.grv,0.012381865593327573
2024-03-23,PAGE.grv,0.012198994001379184
2024-03-24,PAGE.grv,0.011483616154885072
2024-03-25,PAGE.grv,0.010421514175627958
2024-03-26,PAGE.grv,0.009901961939827387
2024-03-27,PAGE.grv,0.010811322525006065
2024-03-28,PAGE.grv,0.011425039012221853
2024-03-29,PAGE.grv,0.011238290164309762
2024-03-30,PAGE.grv,0.010973953932593958
2024-03-31,PAGE.grv,0.010826299841098817
2024-04-01,PAGE.grv,0.010653882807689951
2024-04-02,PAGE.grv,0.010250483546229035
2024-04-03,PAGE.grv,0.009854666376520374
2024-04-04,PAGE.grv,0.00934687257427906
2024-04-05,PAGE.grv,0.009037794051871072
2024-04-06,PAGE.grv,0.008821801463465213
2024-04-07,PAGE.grv,0.00857876190905392
2024-04-08,PAGE.grv,0.007517382568321157
2024-04-09,PAGE.grv,0.006844239406731409
2024-04-10,PAGE.grv,0.0067658546162034
2024-04-11,PAGE.grv,0.0066157278337779625
2024-04-12,PAGE.grv,0.006408045662783998
2024-04-13,PAGE.grv,0.006342616189780097
2024-04-14,PAGE.grv,0.005869594663595345
2024-04-15,PAGE.grv,0.00498611866094598
2024-04-16,PAGE.grv,0.003966810146274483
2024-04-17,PAGE.grv,0.0039667574379307685
2024-04-18,PAGE.grv,0.003925169889554187
2024-04-19,PAGE.grv,0.0039163958535501295
2024-04-20,PAGE.grv,0.0039018164655913318
2024-04-21,PAGE.grv,0.0038257141872885345
2024-04-22,PAGE.grv,0.0036648011184689474
2024-04-23,PAGE.grv,0.0037635125596849834
2024-04-24,PAGE.grv,0.0037278067047703655
2024-04-25,PAGE.grv,0.0037147246739401537
2024-04-26,PAGE.grv,0.0036401754009810524
2024-04-27,PAGE.grv,0.0037699005440445495
2024-05-02,PAGE.grv,0.0021993923504689122
2024-05-03,PAGE.grv,0.0021082894481525114
2024-05-04,PAGE.grv,0.0021415676750842464
2024-05-05,PAGE.grv,0.002099605390475058
2024-05-06,PAGE.grv,0.001987361669023428
2024-05-07,PAGE.grv,0.0019283552320485974
2024-05-08,PAGE.grv,0.0019276014866843163
2024-05-09,PAGE.grv,0.001719776114232012
2024-05-10,PAGE.grv,0.0018517345936307644
2024-05-11,PAGE.grv,0.0018783501681845331
2024-05-12,PAGE.grv,0.0018174680489117002
2024-05-13,PAGE.grv,0.001905146840190697
2024-05-14,PAGE.grv,0.0019364165444352164
2024-05-15,PAGE.grv,0.0019370913741417442
2024-05-16,PAGE.grv,0.0018653366898015802
2024-05-17,PAGE.grv,0.0019149027284710506
2024-05-18,PAGE.grv,0.001882499681563775
2024-05-19,PAGE.grv,0.002255915295889743
2024-05-20,PAGE.grv,0.0022034450112127313
2024-05-21,PAGE.grv,0.0022584619743858817
2024-05-22,PAGE.grv,0.0022466732583164835
2024-05-23,PAGE.grv,0.002259229818443856
2024-05-24,PAGE.grv,0.002256405405674369
2024-05-25,PAGE.grv,0.0021964928430561487
2024-05-26,PAGE.grv,0.0022345210768624315
2024-05-27,PAGE.grv,0.0023622099430758666
2024-05-28,PAGE.grv,0.002281444329001692
2024-05-29,PAGE.grv,0.0018616792074985535
2024-05-30,PAGE.grv,0.0014943137964089869
2024-05-31,PAGE.grv,0.0016567601407971046
2024-06-01,PAGE.grv,0.0019485712891275288
2024-06-02,PAGE.grv,0.0020180105995819893
2024-06-03,PAGE.grv,0.0020040859299259167
2024-06-04,PAGE.grv,0.0019509810702442868
2024-06-05,PAGE.grv,0.0019455745017443137
2024-06-06,PAGE.grv,0.0024062991848025146
2024-06-07,PAGE.grv,0.0023814612003795195
2024-06-08,PAGE.grv,0.0024008393658606006
